text1,labels,check,think,related_techniques,score,full_coverage,semi_coverage,no_coverage,false_positive
"During Operation Wocao, threat actors encrypted IP addresses used for ""Agent"" proxy hops with RC4.",['T1001'],['T1573.001'],"[""Step 1: Analyzed text intent (Usage of technique during an operation to conceal command-and-control proxy hops). Step 2: Checked Candidate T1573.001 (Symmetric Cryptography - command-and-control) and T1521.001 (Symmetric Cryptography without C2 context). The input explicitly states RC4 (a symmetric cipher) was used to encrypt IPs for 'Agent' proxy hops — a C2 concealment action. Therefore T1573.001 is the most specific and context-appropriate match (ties encryption mechanism to command-and-control). Other candidates (Multi-hop Proxy variants) describe proxy chaining rather than the act of encrypting C2 data, so they are less precise.""]","[{""technique_id"": ""T1521.001"", ""name"": ""Symmetric Cryptography"", ""description"": ""Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic, rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symmetric encryption algorithms include AES, Blowfish, and RC4."", ""tactics"": []}, {""technique_id"": ""T1573.001"", ""name"": ""Symmetric Cryptography"", ""description"": ""Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symmetric encryption algorithms include AES, DES, 3DES, Blowfish, and RC4."", ""tactics"": [""command-and-control""]}, {""technique_id"": ""T1572"", ""name"": ""Protocol Tunneling"", ""description"": ""Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious traffic by blending in with existing traffic and/or provide an outer layer of encryption (similar to a VPN). Tunneling could also enable routing of network packets that would otherwise not reach their intended destination, such as SMB, RDP, or other traffic that would be filtered by network appliances or not routed over the Internet. \n\nThere are various means to encapsulate a protocol within another protocol. For example, adversaries may perform SSH tunneling (also known as SSH port forwarding), which involves forwarding arbitrary data over an encrypted SSH tunnel.(Citation: SSH Tunneling)(Citation: Sygnia Abyss Locker 2025) \n\n[Protocol Tunneling](https://attack.mitre.org/techniques/T1572) may also be abused by adversaries during [Dynamic Resolution](https://attack.mitre.org/techniques/T1568). Known as DNS over HTTPS (DoH), queries to resolve C2 infrastructure may be encapsulated within encrypted HTTPS packets.(Citation: BleepingComp Godlua JUL19) \n\nAdversaries may also leverage [Protocol Tunneling](https://attack.mitre.org/techniques/T1572) in conjunction with [Proxy](https://attack.mitre.org/techniques/T1090) and/or [Protocol or Service Impersonation](https://attack.mitre.org/techniques/T1001/003) to further conceal C2 communications and infrastructure. "", ""tactics"": [""command-and-control""]}, {""technique_id"": ""T1521.002"", ""name"": ""Asymmetric Cryptography"", ""description"": ""Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic, rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party","Full0, Semi0, No1, FP1",0,0,1,1
"Poseidon Group conducts credential dumping on victims, with a focus on obtaining credentials belonging to domain and database servers.",['T1003'],['T1555.003'],[''],"[{""technique_id"": ""T1555.003"", ""name"": ""Credentials from Web Browsers"", ""description"": ""Adversaries may acquire credentials from web browsers by reading files specific to the target browser.(Citation: Talos Olympic Destroyer 2018) Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers typically store the credentials in an encrypted format within a credential store; however, methods exist to extract plaintext credentials from web browsers.\n\nFor example, on Windows systems, encrypted credentials may be obtained from Google Chrome by reading a database file, <code>AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data</code> and executing a SQL query: <code>SELECT action_url, username_value, password_value FROM logins;</code>. The plaintext password can then be obtained by passing the encrypted credentials to the Windows API function <code>CryptUnprotectData</code>, which uses the victim’s cached logon credentials as the decryption key.(Citation: Microsoft CryptUnprotectData April 2018)\n \nAdversaries have executed similar procedures for common web browsers such as FireFox, Safari, Edge, etc.(Citation: Proofpoint Vega Credential Stealer May 2018)(Citation: FireEye HawkEye Malware July 2017) Windows stores Internet Explorer and Microsoft Edge credentials in Credential Lockers managed by the [Windows Credential Manager](https://attack.mitre.org/techniques/T1555/004).\n\nAdversaries may also acquire credentials by searching web browser process memory for patterns that commonly match credentials.(Citation: GitHub Mimikittenz July 2016)\n\nAfter acquiring credentials from web browsers, adversaries may attempt to recycle the credentials across different systems and/or accounts in order to expand access. This can result in significantly furthering an adversary's objective in cases where credentials gained from web browsers overlap with privileged accounts (e.g. domain administrator)."", ""tactics"": [""credential-access""]}, {""technique_id"": ""T1503"", ""name"": ""Credentials from Web Browsers"", ""description"": ""Adversaries may acquire credentials from web browsers by reading files specific to the target browser.  (Citation: Talos Olympic Destroyer 2018) \n\nWeb browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers typically store the credentials in an encrypted format within a credential store; however, methods exist to extract plaintext credentials from web browsers.\n\nFor example, on Windows systems, encrypted credentials may be obtained from Google Chrome by reading a database file, <code>AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data</code> and executing a SQL query: <code>SELECT action_url, username_value, password_value FROM logins;</code>. The plaintext password can then be obtained by passing the encrypted credentials to the Windows API ","Full0, Semi0, No1, FP1",0,0,1,1
"Ramsay can collect Microsoft Word documents from the target's file system, as well as <code>.txt</code>, <code>.doc</code>, and <code>.xls</code> files from the Internet Explorer cache.",['T1005'],['T0893'],"['Step 1: Analyzed text intent (Usage - active data collection). The sentence describes Ramsay collecting files (Microsoft Word, .txt, .doc, .xls) from the target file system and Internet Explorer cache. Step 2: Checked Candidate Techniques for matches: this behavior aligns with collecting data from local system sources (file system and browser cache). T0893 (Data from Local System) explicitly covers targeting and collecting data from local system sources. Other candidates (e.g., Stored Application Data) are narrower; T0893 best matches the overall action described.']","[{""technique_id"": ""T0893"", ""name"": ""Data from Local System"", ""description"": ""Adversaries may target and collect data from local system sources, such as file systems, configuration files, or local databases. This can include sensitive data such as specifications, schematics, or diagrams of control system layouts, devices, and processes.\n\nAdversaries may do this using [Command-Line Interface](https://attack.mitre.org/techniques/T0807) or [Scripting](https://attack.mitre.org/techniques/T0853) techniques to interact with the file system to gather information. Adversaries may also use [Automated Collection](https://attack.mitre.org/techniques/T0802) on the local system. "", ""tactics"": []}, {""technique_id"": ""T1114.001"", ""name"": ""Local Email Collection"", ""description"": ""Adversaries may target user email on local systems to collect sensitive information. Files containing email data can be acquired from a user’s local system, such as Outlook storage or cache files.\n\nOutlook stores data locally in offline data files with an extension of .ost. Outlook 2010 and later supports .ost file sizes up to 50GB, while earlier versions of Outlook support up to 20GB.(Citation: Outlook File Sizes) IMAP accounts in Outlook 2013 (and earlier) and POP accounts use Outlook Data Files (.pst) as opposed to .ost, whereas IMAP accounts in Outlook 2016 (and later) use .ost files. Both types of Outlook data files are typically stored in `C:\\Users\\<username>\\Documents\\Outlook Files` or `C:\\Users\\<username>\\AppData\\Local\\Microsoft\\Outlook`.(Citation: Microsoft Outlook Files)"", ""tactics"": [""collection""]}, {""technique_id"": ""T1432"", ""name"": ""Access Contact List"", ""description"": ""An adversary could call standard operating system APIs from a malicious application to gather contact list (i.e., address book) data, or with escalated privileges could directly access files containing contact list data."", ""tactics"": []}, {""technique_id"": ""T1409"", ""name"": ""Stored Application Data"", ""description"": ""Adversaries may try to access and collect application data resident on the device. Adversaries often target popular applications, such as Facebook, WeChat, and Gmail.(Citation: SWB Exodus March 2019) \n\n \n\nDue to mobile OS sandboxing, this technique is only possible in three scenarios: \n\n \n\n* An application stores files in unprotected external storage \n* An application stores files in its internal storage directory with insecure permissions (e.g. 777) \n* The adversary gains root permissions on the device "", ""tactics"": []}, {""technique_id"": ""T1560.001"", ""name"": ""Archive via Utility"", ""description"": ""Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport.\n\nAdversaries may abuse various utilities to compress or encrypt data before exfiltration. Some third party utilities may be preinstalled, such as <c","Full0, Semi0, No1, FP1",0,0,1,1
Scattered Spider has created volume shadow copies of virtual domain controller disks to extract the `NTDS.dit` file.,['T1006'],['T1003.003'],"['Step 1: Analyzed text intent (Usage — active credential access). Step 2: The activity describes creating volume shadow copies of domain controller disks to extract the Active Directory database (NTDS.dit), which is precisely accessing/creating a copy of the AD domain database. Step 3: Candidate T1003.003 (NTDS) explicitly covers obtaining the NTDS.dit for credential access and matches the described action.']","[{""technique_id"": ""T1003.003"", ""name"": ""NTDS"", ""description"": ""Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in <code>%SystemRoot%\\NTDS\\Ntds.dit</code> of a domain controller.(Citation: Wikipedia Active Directory)\n\nIn addition to looking for NTDS files on active Domain Controllers, adversaries may search for backups that contain the same or similar information.(Citation: Metcalf 2015)\n\nThe following tools and techniques can be used to enumerate the NTDS file and the contents of the entire Active Directory hashes.\n\n* Volume Shadow Copy\n* secretsdump.py\n* Using the in-built Windows tool, ntdsutil.exe\n* Invoke-NinjaCopy\n"", ""tactics"": [""credential-access""]}, {""technique_id"": ""T1210"", ""name"": ""Exploitation of Remote Services"", ""description"": ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code.?A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.\n\nAn adversary may need to determine if the remote system is in a vulnerable state, which may be done through [Network Service Discovery](https://attack.mitre.org/techniques/T1046) or other Discovery methods looking for common, vulnerable software that may be deployed in the network, the lack of certain patches that may indicate vulnerabilities,  or security software that may be used to detect or contain remote exploitation. Servers are likely a high value target for lateral movement exploitation, but endpoint systems may also be at risk if they provide an advantage or access to additional resources.\n\nThere are several well-known vulnerabilities that exist in common services such as SMB(Citation: CIS Multiple SMB Vulnerabilities) and RDP(Citation: NVD CVE-2017-0176) as well as applications that may be used within internal networks such as MySQL(Citation: NVD CVE-2016-6662) and web server services.(Citation: NVD CVE-2014-7169)(Citation: Ars Technica VMWare Code Execution Vulnerability 2021) Additionally, there have been a number of vulnerabilities in VMware vCenter installations, which may enable threat actors to move laterally from the compromised vCenter server to virtual machines or even to ESXi hypervisors.(Citation: Broadcom VMSA-2024-0019)\n\nDepending on the permissions level of the vulnerable remote service an adversary may achieve [Exploitation for Privilege Escalation](https://attack.mitre.org/techniques/T1068) as a result of lateral movement exploitation as well."", ""tactics"": [""lateral-movement""]}, {""te","Full0, Semi0, No1, FP1",0,0,1,1
Stuxnet has the ability to generate new C2 domains.,['T1008'],['T1071.004'],"[""Step 1: The input describes an active C2 capability (usage) — generating new command-and-control domains to maintain communications. Step 2: No explicit 'Domain Generation Algorithm' technique is listed in the candidates. The closest matching candidate describing domain-based C2 communications is T1071.004 (DNS), which relates to using DNS for command-and-control and is the most appropriate available choice given the candidate list.""]","[{""technique_id"": ""T1572"", ""name"": ""Protocol Tunneling"", ""description"": ""Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious traffic by blending in with existing traffic and/or provide an outer layer of encryption (similar to a VPN). Tunneling could also enable routing of network packets that would otherwise not reach their intended destination, such as SMB, RDP, or other traffic that would be filtered by network appliances or not routed over the Internet. \n\nThere are various means to encapsulate a protocol within another protocol. For example, adversaries may perform SSH tunneling (also known as SSH port forwarding), which involves forwarding arbitrary data over an encrypted SSH tunnel.(Citation: SSH Tunneling)(Citation: Sygnia Abyss Locker 2025) \n\n[Protocol Tunneling](https://attack.mitre.org/techniques/T1572) may also be abused by adversaries during [Dynamic Resolution](https://attack.mitre.org/techniques/T1568). Known as DNS over HTTPS (DoH), queries to resolve C2 infrastructure may be encapsulated within encrypted HTTPS packets.(Citation: BleepingComp Godlua JUL19) \n\nAdversaries may also leverage [Protocol Tunneling](https://attack.mitre.org/techniques/T1572) in conjunction with [Proxy](https://attack.mitre.org/techniques/T1090) and/or [Protocol or Service Impersonation](https://attack.mitre.org/techniques/T1001/003) to further conceal C2 communications and infrastructure. "", ""tactics"": [""command-and-control""]}, {""technique_id"": ""T1090.002"", ""name"": ""External Proxy"", ""description"": ""Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortMap. (Citation: Trend Micro APT Attack Tools) Adversaries use these types of proxies to manage command and control communications, to provide resiliency in the face of connection loss, or to ride over existing trusted communications paths to avoid suspicion.\n\nExternal connection proxies are used to mask the destination of C2 traffic and are typically implemented with port redirectors. Compromised systems outside of the victim environment may be used for these purposes, as well as purchased infrastructure such as cloud-based resources or virtual private servers. Proxies may be chosen based on the low likelihood that a connection to them from a compromised system would be investigated. Victim systems would communicate directly with the external proxy on the Internet and then the proxy would forward communications to the C2 server."", ""tactics"": [""command-and-control""]}, {""techniqu","Full0, Semi0, No1, FP1",0,0,1,1
ROKRAT can use  the `GetForegroundWindow` and `GetWindowText` APIs to discover where the user is typing.,['T1010'],['T1033'],"['Step 1: Analyzed text intent (Usage): the behavior uses Windows APIs (GetForegroundWindow, GetWindowText) to determine the active/focused window and thus where the user is typing—this is an attempt to discover user activity/identify the user context. Step 2: Checked Candidate T1033 (System Owner/User Discovery) matches the intent of identifying the primary/current user or user context. No more specific candidate about input capture or active-window discovery is available in the provided list, so select the closest matching discovery technique T1033.']","[{""technique_id"": ""T1580"", ""name"": ""Cloud Infrastructure Discovery"", ""description"": ""An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment. This includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services.\n\nCloud providers offer methods such as APIs and commands issued through CLIs to serve information about infrastructure. For example, AWS provides a <code>DescribeInstances</code> API within the Amazon EC2 API that can return information about one or more instances within an account, the <code>ListBuckets</code> API that returns a list of all buckets owned by the authenticated sender of the request, the <code>HeadBucket</code> API to determine a bucket’s existence along with access permissions of the request sender, or the <code>GetPublicAccessBlock</code> API to retrieve access block configuration for a bucket.(Citation: Amazon Describe Instance)(Citation: Amazon Describe Instances API)(Citation: AWS Get Public Access Block)(Citation: AWS Head Bucket) Similarly, GCP's Cloud SDK CLI provides the <code>gcloud compute instances list</code> command to list all Google Compute Engine instances in a project (Citation: Google Compute Instances), and Azure's CLI command <code>az vm list</code> lists details of virtual machines.(Citation: Microsoft AZ CLI) In addition to API commands, adversaries can utilize open source tools to discover cloud storage infrastructure through [Wordlist Scanning](https://attack.mitre.org/techniques/T1595/003).(Citation: Malwarebytes OSINT Leaky Buckets - Hioureas)\n\nAn adversary may enumerate resources using a compromised user's access keys to determine which are available to that user.(Citation: Expel IO Evil in AWS) The discovery of these available resources may help adversaries determine their next steps in the Cloud environment, such as establishing Persistence.(Citation: Mandiant M-Trends 2020)An adversary may also use this information to change the configuration to make the bucket publicly accessible, allowing data to be accessed without authentication. Adversaries have also may use infrastructure discovery APIs such as <code>DescribeDBInstances</code> to determine size, owner, permissions, and network ACLs of database resources. (Citation: AWS Describe DB Instances) Adversaries can use this information to determine the potential value of databases and discover the requirements to access them. Unlike in [Cloud Service Discovery](https://attack.mitre.org/techniques/T1526), this technique focuses on the discovery of components of the provided services rather than the services themselves."", ""tactics"": [""discovery""]}, {""technique_id"": ""T1614"", ""name"": ""System Location Discovery"", ""description"": ""\nAdversaries may gather information in an attempt to calculate the geographical location of a victim host. Adversaries may use the ","Full0, Semi0, No1, FP1",0,0,1,1
Emotet can extract names of all locally reachable Wi-Fi networks and then perform a brute-force attack to spread to new networks.,['T1016.002'],['T1422.002'],"['Step 1: Analyzed text intent (Discovery of locally reachable Wi?Fi networks and subsequent brute-force spread). This is primarily a discovery action. Step 2: Checked Candidate T1422.002 (Wi?Fi Discovery) which specifically covers extracting names of nearby Wi?Fi networks (SSIDs). It is the most specific available technique in the candidate list that matches the described behavior. The brute-force spreading action is an attack behavior not directly mapped to a more specific candidate here, so the best match is the Wi?Fi Discovery sub-technique (T1422.002).']","[{""technique_id"": ""T1422.002"", ""name"": ""Wi-Fi Discovery"", ""description"": ""Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems. Adversaries may use Wi-Fi information as part of [Discovery](https://attack.mitre.org/tactics/TA0032) or [Credential Access](https://attack.mitre.org/tactics/TA0031) activity to support both ongoing and future campaigns. "", ""tactics"": []}, {""technique_id"": ""T1507"", ""name"": ""Network Information Discovery"", ""description"": ""Adversaries may use device sensors to collect information about nearby networks, such as Wi-Fi and Bluetooth."", ""tactics"": []}, {""technique_id"": ""T1421"", ""name"": ""System Network Connections Discovery"", ""description"": ""Adversaries may attempt to get a listing of network connections to or from the compromised device they are currently accessing or from remote systems by querying for information over the network. \n\n \n\nThis is typically accomplished by utilizing device APIs to collect information about nearby networks, such as Wi-Fi, Bluetooth, and cellular tower connections. On Android, this can be done by querying the respective APIs: \n\n \n\n* `WifiInfo` for information about the current Wi-Fi connection, as well as nearby Wi-Fi networks. Querying the `WiFiInfo` API requires the application to hold the `ACCESS_FINE_LOCATION` permission. \n\n* `BluetoothAdapter` for information about Bluetooth devices, which also requires the application to hold several permissions granted by the user at runtime. \n\n* For Android versions prior to Q, applications can use the `TelephonyManager.getNeighboringCellInfo()` method. For Q and later, applications can use the `TelephonyManager.getAllCellInfo()` method. Both methods require the application hold the `ACCESS_FINE_LOCATION` permission."", ""tactics"": []}, {""technique_id"": ""T1580"", ""name"": ""Cloud Infrastructure Discovery"", ""description"": ""An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment. This includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services.\n\nCloud providers offer methods such as APIs and commands issued through CLIs to serve information about infrastructure. For example, AWS provides a <code>DescribeInstances</code> API within the Amazon EC2 API that can return information about one or more instances within an account, the <code>ListBuckets</code> API that returns a list of all buckets owned by the authenticated sender of the request, the <code>HeadBucket</code> API to determine a bucket’s existence along with access permissions of the request sender, or the <code>GetPublicAccessBlock</code> API to retrieve access block configuration for a bucket.(Citation: Amazon Describe Instance)(Citation: Amazon Describe Instances API)(Citation: AWS Get Public Access Block)(Citation: AWS Head Bucket)","Full0, Semi0, No1, FP1",0,0,1,1
Shamoon scans the C-class subnet of the IPs on the victim's interfaces.,['T1018'],['T1595.001'],"[""Step 1: Analyzed text intent: action describes active scanning of IP ranges (C-class subnet) for targeting — a reconnaissance/preparation activity, not local system discovery. Step 2: Checked Candidate Techniques: T1595.001 'Scanning IP Blocks' explicitly covers scanning victim IP blocks (C-class subnet). Match found: T1595.001 best fits the described behavior.""]","[{""technique_id"": ""T1595.001"", ""name"": ""Scanning IP Blocks"", ""description"": ""Adversaries may scan victim IP blocks to gather information that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.\n\nAdversaries may scan IP blocks in order to [Gather Victim Network Information](https://attack.mitre.org/techniques/T1590), such as which IP addresses are actively in use as well as more detailed information about hosts assigned these addresses. Scans may range from simple pings (ICMP requests and responses) to more nuanced scans that may reveal host software/versions via server banners or other network artifacts.(Citation: Botnet Scan) Information from these scans may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains](https://attack.mitre.org/techniques/T1593) or [Search Open Technical Databases](https://attack.mitre.org/techniques/T1596)), establishing operational resources (ex: [Develop Capabilities](https://attack.mitre.org/techniques/T1587) or [Obtain Capabilities](https://attack.mitre.org/techniques/T1588)), and/or initial access (ex: [External Remote Services](https://attack.mitre.org/techniques/T1133))."", ""tactics"": [""reconnaissance""]}, {""technique_id"": ""T1595.002"", ""name"": ""Vulnerability Scanning"", ""description"": ""Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.\n\nThese scans may also include more broad attempts to [Gather Victim Host Information](https://attack.mitre.org/techniques/T1592) that can be used to identify more commonly known, exploitable vulnerabilities. Vulnerability scans typically harvest running software and version numbers via server banners, listening ports, or other network artifacts.(Citation: OWASP Vuln Scanning) Information from these scans may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains](https://attack.mitre.org/techniques/T1593) or [Search Open Technical Databases](https://attack.mitre.org/techniques/T1596)), establishing operational resources (ex: [Develop Capabilities](https://attack.mitre.org/techniques/T1587) or [Obtain Capabilities](https://attack.mitre.org/techniques/T1588)), and/or initial access (ex: [Exploit Public-Facing Application](https://attack.mitre.org/techniques/T1190))."", ""tactics"": [""reconnaissance""]}, {""technique_id"": ""T1580"", ""name"": ""Cloud Infrastructure Discovery"", ""description"": ""An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment. This includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services.\n\nCloud pro","Full0, Semi0, No1, FP1",0,0,1,1
Wizard Spider has used the WebDAV protocol to execute Ryuk payloads hosted on network file shares.,['T1021'],['T0886'],"['Step 1: Analyzed text intent (Usage/Execution and lateral movement): the sentence describes adversary activity using the WebDAV remote service to execute payloads hosted on network file shares (active mechanism: leveraging a remote service/protocol to access and run malware). Step 2: Checked Candidate Techniques: T0886 (Remote Services) maps to leveraging remote services/protocols (such as WebDAV) to move between assets or execute payloads. Other candidates (SMB/Admin Shares, Exploitation of Remote Services) either specify different protocols/mechanisms (SMB) or imply exploiting a vulnerability (T1210), which the text does not state. Match found: T0886.']","[{""technique_id"": ""T1659"", ""name"": ""Content Injection"", ""description"": ""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. Rather than luring victims to malicious payloads hosted on a compromised website (i.e., [Drive-by Target](https://attack.mitre.org/techniques/T1608/004) followed by [Drive-by Compromise](https://attack.mitre.org/techniques/T1189)), adversaries may initially access victims through compromised data-transfer channels where they can manipulate traffic and/or inject their own content. These compromised online network channels may also be used to deliver additional payloads (i.e., [Ingress Tool Transfer](https://attack.mitre.org/techniques/T1105)) and other data to already compromised systems.(Citation: ESET MoustachedBouncer)\n\nAdversaries may inject content to victim systems in various ways, including:\n\n* From the middle, where the adversary is in-between legitimate online client-server communications (**Note:** this is similar but distinct from [Adversary-in-the-Middle](https://attack.mitre.org/techniques/T1557), which describes AiTM activity solely within an enterprise environment) (Citation: Kaspersky Encyclopedia MiTM)\n* From the side, where malicious content is injected and races to the client as a fake response to requests of a legitimate online server (Citation: Kaspersky ManOnTheSide)\n\nContent injection is often the result of compromised upstream communication channels, for example at the level of an internet service provider (ISP) as is the case with \""lawful interception.\""(Citation: Kaspersky ManOnTheSide)(Citation: ESET MoustachedBouncer)(Citation: EFF China GitHub Attack)"", ""tactics"": [""initial-access"", ""command-and-control""]}, {""technique_id"": ""T1077"", ""name"": ""Windows Admin Shares"", ""description"": ""Windows systems have hidden network shares that are accessible only to administrators and provide the ability for remote file copy and other administrative functions. Example network shares include <code>C$</code>, <code>ADMIN$</code>, and <code>IPC$</code>. \n\nAdversaries may use this technique in conjunction with administrator-level [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely access a networked system over server message block (SMB) (Citation: Wikipedia SMB) to interact with systems using remote procedure calls (RPCs), (Citation: TechNet RPC) transfer files, and run transferred binaries through remote Execution. Example execution techniques that rely on authenticated sessions over SMB/RPC are [Scheduled Task/Job](https://attack.mitre.org/techniques/T1053), [Service Execution](https://attack.mitre.org/techniques/T1035), and [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047). Adversaries can also use NTLM hashes to access administrator shares on systems with [Pass the Hash](https://attack.mitre.org/techniques/T1075) and certain configuration and patch levels. (Cita","Full0, Semi0, No1, FP1",0,0,1,1
"During C0027, Scattered Spider used compromised Azure credentials for credential theft activity and lateral movement to on-premises systems.",['T1021.007'],['T1078.004'],"['Step 1: Analyzed text intent (Usage) — adversary used compromised Azure credentials to access cloud resources and move laterally to on?premises systems. Step 2: Checked Candidate Techniques — T1078.004 (Cloud Accounts) specifically covers use/abuse of valid cloud credentials (e.g., Azure). This is the most specific sub?technique available that matches the described action of using compromised Azure credentials for credential theft activity and lateral movement.']","[{""technique_id"": ""T1078.004"", ""name"": ""Cloud Accounts"", ""description"": ""Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application. Cloud Accounts can exist solely in the cloud; alternatively, they may be hybrid-joined between on-premises systems and the cloud through syncing or federation with other identity sources such as Windows Active Directory.(Citation: AWS Identity Federation)(Citation: Google Federating GC)(Citation: Microsoft Deploying AD Federation)\n\nService or user accounts may be targeted by adversaries through [Brute Force](https://attack.mitre.org/techniques/T1110), [Phishing](https://attack.mitre.org/techniques/T1566), or various other means to gain access to the environment. Federated or synced accounts may be a pathway for the adversary to affect both on-premises systems and cloud environments - for example, by leveraging shared credentials to log onto [Remote Services](https://attack.mitre.org/techniques/T1021). High privileged cloud accounts, whether federated, synced, or cloud-only, may also allow pivoting to on-premises environments by leveraging SaaS-based [Software Deployment Tools](https://attack.mitre.org/techniques/T1072) to run commands on hybrid-joined devices.\n\nAn adversary may create long lasting [Additional Cloud Credentials](https://attack.mitre.org/techniques/T1098/001) on a compromised cloud account to maintain persistence in the environment. Such credentials may also be used to bypass security controls such as multi-factor authentication. \n\nCloud accounts may also be able to assume [Temporary Elevated Cloud Access](https://attack.mitre.org/techniques/T1548/005) or other privileges through various means within the environment. Misconfigurations in role assignments or role assumption policies may allow an adversary to use these mechanisms to leverage permissions outside the intended scope of the account. Such over privileged accounts may be used to harvest sensitive data from online storage accounts and databases through [Cloud API](https://attack.mitre.org/techniques/T1059/009) or other methods. For example, in Azure environments, adversaries may target Azure Managed Identities, which allow associated Azure resources to request access tokens. By compromising a resource with an attached Managed Identity, such as an Azure VM, adversaries may be able to [Steal Application Access Token](https://attack.mitre.org/techniques/T1528)s to move laterally across the cloud environment.(Citation: SpecterOps Managed Identity 2022)"", ""tactics"": [""defense-evasion"", ""persistence"", ""privilege-escalation"", ""initial-access""]}, {""technique_id"": ""T1078"", ""name"": ""Valid Accounts"", ""description"": ""Adversaries may obtain and abuse creden","Full0, Semi0, No1, FP1",0,0,1,1
